sentence1,sentence2,label,idx,sbert_ft_score,sbert_ft_pred
"""What does a good answer on Quora look like? What does it mean to """"be helpful""""?""",How do you write a good answer on Quora?,1,6,0.5719907283782959,0
What are your views about demonetisation in India?,What do you think about the ban on 500 and 1000 denomination notes in India?,1,16,0.4809507131576538,0
How can I introduce the surface area of cuboid by using real life situations?,What are the applications of surface area in real life?,1,83,0.6353058815002441,0
Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?,Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?,1,94,0.6381581425666809,0
What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?,What will the real estate look like now after the 500 and 1000 scraping?,1,133,0.6096091270446777,0
What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,Why is the government abruptly banning the 500 Rupees and the 1000 rupees currency notes in India?,1,155,0.671613335609436,0
What does Quora mean?,Does Quora stand for QUestion OR Answer?,1,197,0.6968491077423096,0
Is our PM Modi doing the correct thing with 500 and 1000 Rs notes?,What do you think about ban on Rs. 500 and Rs. 1000 currency notes?,1,221,0.6490182876586914,0
Is it possible to choose your dreams?,How can I manipulate my dreams?,1,223,0.6449292898178101,0
"I have a drug test at 3 next tuesday, its friday. I stopped smoking meth today. will I pass my urine test?",I've been smoking meth for about a year. How long will it be before I can pass a blood test?,1,242,0.681403636932373,0
Why do so many people ask questions on Quora.com when they could easily find the answers themselves online?,Why do people ask basic questions instead of searching them?,1,243,0.6786089539527893,0
How can I lose weight effectively?,How do I lose weight from 70 to 50?,1,254,0.670295000076294,0
Does masturbation causes pimples?,How bad is masturbation and what are the bad effects?,1,256,0.5934733152389526,0
If you are told that you have only 24 hours to live how you will spend it? With whom?,"If you had only 24 hours left to live, what would you do?",1,267,0.6639202833175659,0
You are president of the United States. What will you do in the 4 or 8 years of your presidency?,What would you do if you are elected President of United States?,1,305,0.6675832271575928,0
Are/were mermaids/mermen real?,Are maremaids real?,1,319,0.49444013833999634,0
How do I find out what I truly want in my life? It fluctuates!,How can I improve myself and figure out what should I do with my life?,1,363,0.5227142572402954,0
Can a boy join the Indian armed forces after a BSc degree?,"How to Join Indian Army,After Engineering?",1,374,0.6395294666290283,0
What can hamsters eat besides hamster food?,Can hamsters eat peanuts? Are they harmful for them in any way?,1,387,0.5908200740814209,0
"Did anyone get called after the Google APAC 2017 University Test Round A held on 10th July, 2016?",Has anyone got an interview invite for Google APAC 2017 round 1?,1,406,0.5933835506439209,0
