sentence1,sentence2,label,idx,sbert_ft_score,sbert_ft_pred
"""What does a good answer on Quora look like? What does it mean to """"be helpful""""?""",How do you write a good answer on Quora?,1,6,0.572669506072998,0
What are your views about demonetisation in India?,What do you think about the ban on 500 and 1000 denomination notes in India?,1,16,0.48892495036125183,0
are aliens real or are they fake ?,Do aliens exists?,1,47,0.6953710317611694,0
How can I introduce the surface area of cuboid by using real life situations?,What are the applications of surface area in real life?,1,83,0.6482275128364563,0
Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?,Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?,1,94,0.643112063407898,0
What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?,What will the real estate look like now after the 500 and 1000 scraping?,1,133,0.6032891273498535,0
What was first word spoken by human?,What is the first word ever spoken?,1,145,0.6889045834541321,0
Is literally infinite number of unique human DNAs possible?,What is the maximum number of genetically unique individuals that human genome allows?,1,153,0.6898165941238403,0
What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,Why is the government abruptly banning the 500 Rupees and the 1000 rupees currency notes in India?,1,155,0.6672199964523315,0
What does Quora mean?,Does Quora stand for QUestion OR Answer?,1,197,0.6974928975105286,0
Is our PM Modi doing the correct thing with 500 and 1000 Rs notes?,What do you think about ban on Rs. 500 and Rs. 1000 currency notes?,1,221,0.6269031763076782,0
Is it possible to choose your dreams?,How can I manipulate my dreams?,1,223,0.630952775478363,0
Why do so many people ask questions on Quora.com when they could easily find the answers themselves online?,Why do people ask basic questions instead of searching them?,1,243,0.6677733659744263,0
How can I lose weight effectively?,How do I lose weight from 70 to 50?,1,254,0.6677411794662476,0
Does masturbation causes pimples?,How bad is masturbation and what are the bad effects?,1,256,0.6016397476196289,0
If you are told that you have only 24 hours to live how you will spend it? With whom?,"If you had only 24 hours left to live, what would you do?",1,267,0.6727114915847778,0
You are president of the United States. What will you do in the 4 or 8 years of your presidency?,What would you do if you are elected President of United States?,1,305,0.665125846862793,0
Are/were mermaids/mermen real?,Are maremaids real?,1,319,0.5003092288970947,0
How do I find out what I truly want in my life? It fluctuates!,How can I improve myself and figure out what should I do with my life?,1,363,0.5385041236877441,0
Can a boy join the Indian armed forces after a BSc degree?,"How to Join Indian Army,After Engineering?",1,374,0.6545771360397339,0
What can hamsters eat besides hamster food?,Can hamsters eat peanuts? Are they harmful for them in any way?,1,387,0.5974721312522888,0
"Did anyone get called after the Google APAC 2017 University Test Round A held on 10th July, 2016?",Has anyone got an interview invite for Google APAC 2017 round 1?,1,406,0.6005420684814453,0
What are the pros and cons in the various sectors of the Indian economy by banning Indian Rupees of 500 and 1000 notes? What lead to this short notice by PM Narendra Modi?,What is the main reason for discontinuing 500 and 1000 Rupees Note in India? What are the pros and cons of it?,1,427,0.6991307735443115,0
Why do people ask questions on Quora that are easily answerable via a quick internet search?,Why do so many people ask google-able questions on Quora?,1,455,0.6729487180709839,0
Anybody willing to do online group study for cfa level 1 exam 2015? Let me know,How can I join Whatsapp group of CFA level 1 aspirants?,1,469,0.5974159836769104,0
How will releasing new 500 and 2000 rupee notes help in eradicating black money?,Why is the Indian government producing 2000 rupee note as it can be easily used for black money?,1,523,0.594193696975708,0
What's the best way to get 1000+ likes for a Facebook page without spending any money?,How can we promote facebook page without spending money?,1,700,0.657949686050415,0
Is it bad for health to eat eggs every day?,Is it healthy to eat a tomato every day?,1,741,0.5929029583930969,0
Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?,How banning 500 and 1000 rupee can affect black money?,1,750,0.4984642565250397,0
How do I hack or spy on someone's WhatsApp conversation?,How can I hack someone's whatsapp account and change their wallpaper on my phone?,1,761,0.6561964154243469,0
How do I get rid of excessive weight?,How do I lose weight?,1,826,0.6996855139732361,0
How could I improve my English pronunciation?,How can I improve my speaking?,1,843,0.6827173233032227,0
What do you think of the Government's move of banning old Rs. 500 & Rs. 1000 notes?,What are your views on banning 500 and 1000 rupee notes? How does it affect black money and is it really gonna work and expose all the black money?,1,846,0.6924987435340881,0
How do I check my UAN number?,I have 2 UAN numbers. How can I activate and check the previous PF balance with that UAN?,1,949,0.6716938018798828,0
